,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern,,,Тэги из гуглдока,Структурные особенности,Negation,Reduplication,Inversion
471,NP-Dat (не) VP-ся,мне не спится,,Activity,Antiresultative,,,,Clause / Verb pattern,Clause,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
98,даваться-Past Pron-Dat этот NP-Nom!,дался тебе этот неудачник!,,Characteristics,Assessment,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
258,от/из NP-Gen нести NP-Ins,от него несёт алкоголем,,Characteristics,Assessment,Negative,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
274,пойти VP,пошли посмотрим фильм,,Activity ,Assessment,Direct,Purpose,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
276,попасть в NP-Acc,его мама попала в сумасшедший дом,"EXAMPLES: попасть в тюрьму, в плохую компанию НО ЕЩЕ [ [Попасть]попасть [в]в [театр]Location]",Activity ,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
304,сидеть за NP-Ins,сидеть за работой,,Activity ,Assessment,,Intensity,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
450,NP иметь дело с NP-Ins,он когда-то имел дело с трудными подростками,"бывает еще ""иметь опыт""",Characteristics,Assessment,,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
474,NP-Dat дать Num-Nom лет,Паше дают двадцать лет на вид,"надо развести две конструкции дать СОВ ВИД про срок в тюрьме, а давать НЕСОВ ВИД про возраст человека. Нужно переделать название конструкции!!",Characteristics,Assessment,Age,Approximation,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
475,NP-Dat идти XP,Ей идёт эта причёска,,Characteristics,Assessment,Positive,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
480,NP-Dat не пристать VP-Inf,тебе не пристало ходить по дискотекам,,Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,Negation,Negation,,
485,NP-Dat стоить VP-Inf,повару стоит научиться готовить,Improve illustration and examples! Конструкция используется для выражения пожелания [некоторому участнику]Participant.,Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
489,NP-Dat хватать NP-Gen,нам хватает сахара,Конструкция используется для выражения (не)достаточного количества некоторого [объекта]Stimulus для какого-либо [субъекта]Experiencer или [объекта]Experiencer.,Characteristics,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
507,NP-Nom вести в NP-Acc,дверь вела в комнату,"Конструция обозначает, что [что-либо]Theme имеет то или иное [направление]Location, служит путём [куда-нибудь]Location.",Characteristics,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
508,NP-Nom вести NP-Acc,учительница вела урок,"Конструкция обозначает, что [кто-либо]Agent занимается какой-либо [деятельностью]Theme, выполняет какие-либо [обязанности]Theme. Example: [ведет]вести [собрание]Theme]; [ [Врач]Agent [вел]вести [больного]Theme]NP-Nom_вести_NP-Acc после операции.",Characteristics / Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
513,NP-Nom закатиться|залиться NP-Dat,Она закатилась слезами,,Activity,Assessment,,Manner,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
514,NP-Nom занимать Num-Acc NP-Acc,у меня это заняло десять минут,,Characteristics,Assessment,Time,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
535,NP-Nom не выносить NP-Acc,Она не выносит нецензурную речь,,Characteristics,Assessment,Negative,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,Negation,Negation,,
542,NP-Nom обернуться NP-Ins,Дело обернулось бедой,,Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
544,NP-Nom отличаться NP-Ins,Он отличается большой выносливостью,,Characteristics,Assessment,,Exclusivity,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
550,NP-Nom прийтись-Past (NP-Dat) XP,сапоги пришлись ему впору,,Characteristics,Assessment,Size,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
515,NP-Nom знать толк в NP-Loc,он знает толк в настольных играх,"similar to он мастер готовить, добавить ""разбираться в NP-Loc""",Characteristics,Assessment,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
536,NP-Nom не играть (никакой) роль,Это обстоятельство не сыграло в его судьбе никакой роли,"Зачем включено отрицание? Бывает ""играть роль"". Конструкция обозначает, что [что-то]Theme является неважным, несущественным.",Characteristics,Assessment,,,,Verb pattern,,,,,,,,,,,Verb pattern,Light verb,,,,,Negation,Negation,,
169,краснеть за NP-Acc,мама краснела за оценки сына,,Activity,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
198,не мочь не VP-Inf,Не могу не согласиться,,Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
468,NP-Acc привлекать в NP-Loc NP-Nom,женщин привлекают в богачах их деньги,,Characteristics,Attitude,Positive,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
490,NP-Dat NP-Acc не сломить,армии меня не сломить,"Конструкция обозначает, что [что-либо или кто-либо]Agent (не) способен лишить [кого-либо]Patient силы энергии или ослабить его физически/морально.",Characteristics / Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
531,NP-Nom над-VP-ся над NP-Ins,Они надругались над законами экономики,надсмехаться в конструктиконе - устаревшее или просторечное,Activity,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
562,NP-Nom терпеть не мочь NP-Acc/VP-Inf.Imp,Я терпеть не могу соревноваться!,"Конструкция обозначает, что [говорящий или участник ситуации]Experiencer очень не любит/не переносит [что-либо или кого-либо.]Theme",Characteristics,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
592,NP-Nom VP NP-Dat,Он смеялся чужой беде,"Конструкция обозначает, что [субъект]Experiencer [испытывает]Action какие-либо эмоции по отношению к [действиям]Theme других участников ситуации. [улыбался]Action [шутке]Theme]",Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
247,носить Adj-Acc характер-Acc,большинство звонков носило консультационный характер,,Characteristics,Categorisation,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
551,NP-Nom приходиться NP-Dat NP-Ins,этот мальчик приходится мне сыном,,Characteristics,Categorisation,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
552,NP-Nom пройти/перешагнуть через NP-Acc,Дети прошли через всяческие испытания,"Конструкция, обозначает, что [субъект]Experiencer преодолевает какое-то [несчастье]Theme или неприятное [событие жизни]Theme.",Characteristics / Activity,Categorisation,,Result,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
590,NP-Nom VP NP-Acc NP-Ins,Он поставил своего ученика подсобником,,Characteristics,Categorisation,,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
219,нести ответственность за NP-Acc,родители несут ответственность за детей," = они ответственны. Это скорее характеристика, чем действие субъекта, и в этом специфика этой конструкции.",Characteristics,Categorisation,,,,Light verb + Nominal pattern,,,,,,,,,,,,Light verb,Nominal pattern,,,,,,,
522,NP-Nom иметь вес при/в NP-Loc,Он имел большой вес в обществе.,"Light verb -> not about activity, it is Characteristics",Characteristics,Categorisation,,,,Light verb + Nominal pattern,,,,,,,,,,,,Light verb,Nominal pattern,,,,,,,
533,NP-Nom начинать NP-Ins,Он начинал учителем,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
545,NP-Nom относиться к числу NP-Gen,он относится к числу скептиков,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
555,NP-Nom сделаться NP/Adj-Ins,Он сделался важным начальником,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
556,NP-Nom слыть NP-Ins,Она слыла отличницей,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
566,NP-Nom числиться на/в NP-Loc,Он числился на службе,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family. Конструкция, обозначающая, что некоторый субъект находится [в определённом списке или категории]Location. [ [Я]Agent [числился]числиться [в]в [штате театра]Location ]N",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
567,NP-Nom числиться Adj-Ins/NP-Ins,он числился отстающим в классе,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
18,(NP-Dat) не мешало бы VP-Inf,Нам не мешало бы подкрепиться,,Activity,Causation,Indirect,Wish,Assertive,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,Negation,Negation,,
96,давай(те) VP-Fut.1.Plur,давайте пойдем в кино,,Activity,Causation,Direct,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
97,давать-Imper VP-Inf,дай доделать,,Activity,Causation,Direct,Wish,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
54,велеть NP-Dat VP-Inf,мать велела сыну учиться,,Activity,Causation,Direct,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
467,NP-Acc отдать в/на NP-Acc,отдать детей в школу,"Конструкция обозначает, что кого-либо отправляют на время [куда-либо]Location с целью обучения, лечения или работы.",Activity,Causation,,Location,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
13,(пойти) весь в NP-Acc,Он пошел весь в отца,Похожий на; тэг Similarity?,Characteristics,Comparison,,,,Adj / Light verb,,,,,,Adj,,,,,,Light verb,,,,,,,,
595,NP-Nom VP-Inf(-то) VP но Cl,"спросить спрошу, но он может не знать","Конструкция обозначает, что [некоторый участник]Agent готов сделать что-либо, но считает это ненужным/безуспешным или проявляет неуверенность в благоприятном исходе.",Activity,Concession,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
653,VP-Imper не VP-Imper а Cl,"плачь-не плачь, а прошлого не вернуть",,Activity,Concession,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication and Negation ,Negation,Reduplication,
665,"VP-Pres.2.Sing не V-Pres.2.Sing, а Cl","Хочешь не хочешь, а встанем рано утром","similar to 667, 668",Activity,Concession,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
305,сидеть VP,Сижу курю,,Activity,Continuation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
597,NP-Nom VP-VP а не Cl,"я его просил-просил, а он не соглашается",,Activity,Continuation,,Intensity,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
598,NP-Nom VP-VP и Cl,шёл-шёл и увидел красивый дом,,Activity,Continuation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
347,ходить NP-Nom о|про NP-Ins,Ходят слухи об отъезде Петровых,,Discourse,Degree of certainty,,,Assertive,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
506,NP-Nom в-VP-ся в NP-Acc,Он хорошо вживается в образ,"Improve illustration! См. всмотреться, вчитаться, вслушаться (ментальные предикаты)",Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
512,NP-Nom до-VP-ся (до NP-Gen),Евгения Борисовна без всякой причины дохохоталась до слёз.,,Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
529,NP-Nom на-VP NP-Gen.Plur,Он навёз домой много вещей,,Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
593,NP-Nom VP NP-Ins.Plur NP-Acc,Она скупала мешками картошку в магазине,"Конструкция обозначает, что субъект совершает какое-либо действие [в больших количествах]Theme. Такое [количество]Parameter выражается следующими параметрами: [тонна]Parameter, [мешок]Parameter, [пачка]Parameter и подобное.  [съедал]Action [тоннами]Parameter [ [ эти вкусные конфеты]T",Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
549,NP-Nom пребывать на/в NP-Loc/у NP-Gen,Охранник пребывает на посту,"Australian doc: sostojanie. Конструкция, обозначающая, что[некоторый субъект]Agent находится [в каком-то положении или месте]Location.",Activity,Location,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
547,NP-Nom пере-VP-ся NP-Ins,Они перекидываются шутками,"бывает ""перешептываться"", ""перестукиваться"", ""переглядываться"" (но без NP-Ins)",Activity,Manner,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
579,NP-Nom V VP,он идет шатается,"Конструкция обозначает, что [некоторый участник]Agent во время [какого-либо действия]Action делает другое действие, которое служит модификатором/усилением для первого действия или его уточнением. Второй день [ [я]Agent [хожу]Action [хромаю]Intensifier]NP-Nom_VP_VP,  [стоит]Action [слушает.]Intensifier]NP-Nom_VP_VP МНЕ КАЖЕТСЯ ПЕРВЫЙ ГЛАВНЫЙ ГЛАГОЛ ЭТО ОБЫЧНО ГЛАГОЛ ДВИЖЕНИЯ< НО ЕСТЬ ИСКЛЮЧЕНИЯ. ЭТО МОЖНО БЫЛО БЫ ПРОВЕРИТЬ И ДОБАВИТЬ В ОПИСАНИЕ КОНСТРУКЦИИ",Activity,Manner,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
645,VP NP-Ins,Мы готовили обед всей семьей,"Inclusivity? Конструкция означает, что участник выполнял [действия]Action в составе [какой-либо группы]Participant.",Activity,Manner,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
252,обойтись в Num-Acc NP-Gen,Новая сумка обошлась в тысячу рублей,,Characteristics,Measure,Money,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
248,носить NP-Acc NP-Gen,она носит фамилию мужа,,Characteristics,Naming,,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
465,NP-Acc звать NP-Ins/Nom,мальчика звать Юрой,,Characteristics,Naming,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
281,пришлось VP-Inf,пришлось выпить лекарство,,Activity,Necessity,,Causation,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
469,NP-Acc прочить NP-Ins|в NP-Acc,его прочили в директора,ukazanie na ozhidaemye posledstvija,Activity,Prediction,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
19,(NP-Dat) не положено VP-Inf,Детям не положено гулять поздно,,Activity,Prohibition,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,Negation,Negation,,
39,бросить-Imper VP-Imp.Inf,брось спорить,,Activity,Prohibition,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
41,будет Pron-Dat VP-Inf,будет тебе врать!,,Activity,Prohibition,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
202,не стоит VP-Inf,не стоит разговаривать с ним,,Activity,Prohibition,,,Assertive,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,Negation,Negation,,
591,NP-Nom VP NP-Acc VP-Inf,он достал деньги поехать на юг,"Добавить в описание конструкции характеристику одушевленности объекта: при неодуш. объекте Purpose, при одуш. Causation Конструкция обозначает, что [субъект]Agent совершает [какое-либо действие]Action с [целью достижения результата/цели]Goal EXAMPLES: [ [Папа]Agent [взял]Action [нож]Theme [порезать]Goal]NP-Nom_VP_NP-Acc_VP-Inf колбасу PURPOSE but in Время от времени [ [Людмила]Agent [звала]Action [свекровь]Theme [переехать]Goal]NP-Nom_VP_NP-Acc_VP-Inf к старшему сыну CAUSATION",Activity,Purpose,,Causation,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
130,зайти VP-Inf.Perf,Я зашел поговорить,,Activity,Purpose,,Intension,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
518,NP-Nom идти за NP-Ins,Она пошла за врачом,,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
519,NP-Nom идти по NP-Acc,Родители пошли по грибы,,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
546,NP-Nom отправиться за NP-Ins,Он отправился на колодец за водой,,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
558,NP-Nom созданный-Short для NP-Gen,автомобиль создан для спортивных соревнований.,"ср. создан, чтобы (уже есть в констр)",Characteristics,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
559,NP-Nom сходить за NP-Ins NP-Dat,она сходила за книгой брату,similar 518 NP-Nom идти за NP-Ins,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
488,NP-Dat удалось VP-Inf,Мише удалось покурить,"получилось, вышло с тем же управлением We already used the tag result for доделать работу до конца",Activity,Result,,Success,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
530,NP-Nom на-VP-ся (NP-Ins),земля напиталась водой,"na-...-sja is the key element and denotes Intensity (compare ele xodit, see your tag for 529!) or ACCUMULATE. Конструкция обозначает, что [субъект или объект]Experiencer в результате каких-либо [действий]Action приходит в [состояние чрезмерного]Theme. Конструкция используется при глаголах наполнения, полного охвата чего-либо. надышался наговорился GOOD EXAMPLE OF A MORPHOLOGICALLY COMPLEX VERB AS A CONSTRUCTION!",Activity,Result,,Intensity,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
539,NP-Nom не преминул VP-Inf,Он не преминул сделать замечания,"Конструкция, которая выражает ситуация невозможности [некоторым объектом]Agent упущуения [сделать что-либо]Action, пройти [мимо чего-либо]Action. TWO TYPOS IN DESCRIPTION",Activity,Result,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
565,NP-Nom умудриться VP-Inf,Он умудрился упасть,"Конструкция выражает, что[ некоторый субъект]Experiencer, сумел [сделать что-нибудь трудное]Action или [получить что-либо труднодоступное]Action . Стилистически выражает иронию",Activity,Result,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
280,принять-Past NP-Acc за NP-Acc,он принял того мужчину за своего отца,,Activity,Similarity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
132,знать NP-Gen по NP-Dat,он знал актера по фильмам,,Activity,Source of information,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
220,нести NP-Acc,он понес большие убытки на работе,"Конструкции 220 и 221 нужно развести в плане формулы, сейчас они имеют одну и ту же формулу записи нести NP-Acc. Дефиниции тоже слишком похожи, отличие только по ограничению сочетаемости. Стоит ли тогда соединить эти конструкции в одну?",Characteristics,Temporary state,,,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
221,нести NP-Acc,он несет наказание за совершенные преступления,"Конструкции 220 и 221 нужно развести в плане формулы, сейчас они имеют одну и ту же формулу записи нести NP-Acc. Дефиниции тоже слишком похожи, отличие только по ограничению сочетаемости. Стоит ли тогда соединить эти конструкции в одну?",Characteristics,Temporary state,,,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
109,держать NP-Acc при себе,держать мысли при себе,,Characteristics,Temporary state,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
345,ходить в NP-Loc.Plur,она уже давно ходит в невестах,,Characteristics,Temporary state,,,,Verb pattern,,,,,,,,,,,Verb pattern,Light verb,,,,,,,,
548,NP-Nom пребывать в NP-Loc,Он все это время пребывал в неведении,,Characteristics,Temporary state,,,,Verb pattern,,,,,,,,,,,Verb pattern,Light verb,,,,,,,,
38,бросить VP-Inf,Бросил курить,,Activity,Terminative,,,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
261,переделать NP-Acc под NP-Acc,Однако после революции они переделали церковь под крематорий.,,Activity,Transformation of object,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
262,переименовать NP-Acc в NP-Acc,переименовать Ленинград в Санкт-Петербург,,Activity,Transformation of object,,Naming,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
57,взять и VP,он взял и увез меня в деревню,Плохо выглядит ссылка на статью Стойновой. Ссылки должны быть оформлены лучше.,Activity,Unexpected outcome,,Result,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
61,возьми и VP-Imper,а он возьми и купи новую машину!,,Activity,Unexpected outcome,,,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,